"Kyn";"Ár";"Landsvæði";"Alls Aðfluttir umfram brottflutta";"Alls Aðfluttir";"Alls Brottfluttir";"Íslenskir ríkisborgarar Aðfluttir umfram brottflutta";"Íslenskir ríkisborgarar Aðfluttir";"Íslenskir ríkisborgarar Brottfluttir";"Erlendir ríkisborgarar Aðfluttir umfram brottflutta";"Erlendir ríkisborgarar Aðfluttir";"Erlendir ríkisborgarar Brottfluttir"
"Konur";"2011";"Alls";-418;2736;3154;-620;1359;1979;202;1377;1175
"Konur";"2011";"Höfuðborgarsvæði";-385;1864;2249;-486;982;1468;101;882;781
"Konur";"2011";"Suðurnes";-9;185;194;-22;104;126;13;81;68
"Konur";"2011";"Vesturland";10;120;110;3;55;52;7;65;58
"Konur";"2011";"Vestfirðir";-12;54;66;-23;10;33;11;44;33
"Konur";"2011";"Norðurland vestra";-14;42;56;-14;15;29;0;27;27
"Konur";"2011";"Norðuland eystra";-41;158;199;-51;79;130;10;79;69
"Konur";"2011";"Austurland";10;89;79;-10;38;48;20;51;31
"Konur";"2011";"Suðurland";23;224;201;-17;76;93;40;148;108
"Konur";"2011";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2012";"Alls";-19;2910;2929;-430;1521;1951;411;1389;978
"Konur";"2012";"Höfuðborgarsvæði";-8;2037;2045;-248;1154;1402;240;883;643
"Konur";"2012";"Suðurnes";-34;157;191;-48;80;128;14;77;63
"Konur";"2012";"Vesturland";22;132;110;-18;59;77;40;73;33
"Konur";"2012";"Vestfirðir";20;64;44;-13;15;28;33;49;16
"Konur";"2012";"Norðurland vestra";-18;40;58;-6;21;27;-12;19;31
"Konur";"2012";"Norðuland eystra";-11;166;177;-24;94;118;13;72;59
"Konur";"2012";"Austurland";-6;82;88;-18;32;50;12;50;38
"Konur";"2012";"Suðurland";16;232;216;-55;66;121;71;166;95
"Konur";"2012";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2013";"Alls";779;3382;2603;5;1516;1511;774;1866;1092
"Konur";"2013";"Höfuðborgarsvæði";501;2314;1813;25;1136;1111;476;1178;702
"Konur";"2013";"Suðurnes";77;210;133;-3;82;85;80;128;48
"Konur";"2013";"Vesturland";34;141;107;0;51;51;34;90;56
"Konur";"2013";"Vestfirðir";31;89;58;-3;20;23;34;69;35
"Konur";"2013";"Norðurland vestra";8;53;45;3;16;13;5;37;32
"Konur";"2013";"Norðuland eystra";44;211;167;-9;96;105;53;115;62
"Konur";"2013";"Austurland";52;106;54;21;39;18;31;67;36
"Konur";"2013";"Suðurland";32;258;226;-29;76;105;61;182;121
"Konur";"2013";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2014";"Alls";413;3173;2760;-416;1234;1650;829;1939;1110
"Konur";"2014";"Höfuðborgarsvæði";251;2148;1897;-226;942;1168;477;1206;729
"Konur";"2014";"Suðurnes";52;216;164;-32;74;106;84;142;58
"Konur";"2014";"Vesturland";36;121;85;-21;37;58;57;84;27
"Konur";"2014";"Vestfirðir";27;77;50;-10;16;26;37;61;24
"Konur";"2014";"Norðurland vestra";5;60;55;-6;22;28;11;38;27
"Konur";"2014";"Norðuland eystra";-18;174;192;-54;66;120;36;108;72
"Konur";"2014";"Austurland";-4;79;83;-34;15;49;30;64;34
"Konur";"2014";"Suðurland";64;298;234;-33;62;95;97;236;139
"Konur";"2014";"Ótilgreint";-;-;-;-;-;-;-;-;-
